id,name,market_cap,volume_24h,last_updated
0,Bitcoin,856896047344.4724,32829220267.326332,2023-12-06 21:02:00
1,Ethereum,271333302614.579,13253569077.828709,2023-12-06 21:02:00
2,Tether USDt,89942631062.51157,59221683969.75953,2023-12-06 21:01:00
3,BNB,34928372915.25611,830407460.5161129,2023-12-06 21:01:00
4,XRP,34181478131.814693,1910787816.4504156,2023-12-06 21:02:00
5,Solana,27121189166.324535,2967996007.009446,2023-12-06 21:02:00
6,USDC,24250649424.87404,6443478823.622613,2023-12-06 21:01:00
7,Cardano,15825670991.721563,798399169.471251,2023-12-06 21:01:00
8,Dogecoin,13855172183.954916,2571020295.3299966,2023-12-06 21:02:00
9,Avalanche,9800801397.45158,1516338681.6855648,2023-12-06 21:01:00
10,TRON,9311242771.146135,360581680.67171943,2023-12-06 21:01:00
11,Chainlink,8676164534.57458,718264769.7512283,2023-12-06 21:01:00
12,Toncoin,7982868925.874661,44885965.91596342,2023-12-06 21:02:00
13,Polygon,7706022687.289146,631105954.340808,2023-12-06 21:01:00
14,Polkadot,7587690429.648278,401916080.9387256,2023-12-06 21:01:00
15,Shiba Inu,5831450367.549161,756511471.8915124,2023-12-06 21:01:00
16,Litecoin,5421662973.04314,426922872.5018258,2023-12-06 21:02:00
17,Dai,5342898314.88929,333912528.619433,2023-12-06 21:01:00
18,Bitcoin Cash,4848885588.374548,424201893.2669038,2023-12-06 21:01:00
19,Cosmos,3788850713.3493586,238348256.77002132,2023-12-06 21:01:00
20,Uniswap,3562567638.402517,174865120.81660217,2023-12-06 21:01:00
21,Stellar,3495235275.1753054,107460922.82978368,2023-12-06 21:01:00
22,UNUS SED LEO,3487359170.7788715,711423.00711522,2023-12-06 21:01:00
23,OKB,3444144267.0214534,16161630.40628576,2023-12-06 21:01:00
24,Monero,3146832710.9404235,106789183.94666202,2023-12-06 21:02:00
25,Kaspa,3043422230.181661,49657485.45148504,2023-12-06 21:01:00
26,Ethereum Classic,2952301817.948806,400367165.99298924,2023-12-06 21:02:00
27,TrueUSD,2839677541.8256865,291770170.1585869,2023-12-06 21:01:00
28,Cronos,2430574309.3996587,23120519.50420317,2023-12-06 21:01:00
29,NEAR Protocol,2360828687.6652346,248888970.89261356,2023-12-06 21:01:00
30,Hedera,2320548686.7157755,143533292.82017508,2023-12-06 21:01:00
31,Filecoin,2268606438.0434217,190208075.03387484,2023-12-06 21:02:00
32,Internet Computer,2204331203.6560297,84219120.57058457,2023-12-06 21:01:00
33,THORChain,2178424095.906832,408507300.0768389,2023-12-06 21:02:00
34,Aptos,2084836728.5573967,173472997.8143239,2023-12-06 21:02:00
35,Lido DAO,2042657726.2986062,93460871.67197993,2023-12-06 21:01:00
36,Mantle,1990795119.2019725,155080594.3990988,2023-12-06 21:01:00
37,VeChain,1854152081.0870695,63322794.684673,2023-12-06 21:02:00
38,Immutable,1754815587.406576,128776795.33633907,2023-12-06 21:02:00
39,BUSD,1592627406.8919482,423594369.58857745,2023-12-06 21:01:00
40,Optimism,1585321946.123383,199824781.52965117,2023-12-06 21:01:00
41,The Graph,1548610914.6971705,152816020.36093104,2023-12-06 21:01:00
42,Stacks,1500403417.4429514,328300632.8661869,2023-12-06 21:01:00
43,Celestia,1499330788.8761315,684956095.6978613,2023-12-06 21:01:00
44,Injective,1447726022.6603734,109560428.31717688,2023-12-06 21:02:00
45,FTX Token,1441821487.774502,123184384.32639062,2023-12-06 21:02:00
46,Aave,1428685236.7031894,131454720.2201801,2023-12-06 21:02:00
47,Render,1396752077.2748902,144851916.17226547,2023-12-06 21:01:00
48,Arbitrum,1366263711.6187274,368400094.20897365,2023-12-06 21:01:00
49,Quant,1334917679.5737367,55139576.43816321,2023-12-06 21:02:00
50,ORDI,1321617218.9555924,2320798821.9291015,2023-12-06 21:01:00
51,Maker,1321422761.6096027,59186373.06244967,2023-12-06 21:01:00
52,Terra Classic,1295926991.084852,598351835.4953872,2023-12-06 21:02:00
53,MultiversX,1286751162.0395093,58545911.17357452,2023-12-06 21:01:00
54,Algorand,1238781180.9558864,81280477.50932585,2023-12-06 21:01:00
55,Flow,1131086116.4943047,123090851.72255243,2023-12-06 21:01:00
56,Synthetix,1114364726.8523145,119479339.20965415,2023-12-06 21:01:00
57,First Digital USD,1068143271.1157913,3728181899.583842,2023-12-06 21:02:00
58,Theta Network,1066774088.5931433,57120599.2410127,2023-12-06 21:01:00
59,Bitcoin SV,1012358004.2548567,89010066.44209677,2023-12-06 21:01:00
60,The Sandbox,948677588.9075375,179866616.6504429,2023-12-06 21:02:00
61,Fantom,941938059.2963314,100030811.93944457,2023-12-06 21:01:00
62,Axie Infinity,927414862.376683,172504073.24628413,2023-12-06 21:01:00
63,BitTorrent (New),904785664.9456557,335062239.04838127,2023-12-06 21:01:00
64,Decentraland,902792232.6412033,173230064.40139213,2023-12-06 21:01:00
65,KuCoin Token,900390282.756222,3473286.62750967,2023-12-06 21:02:00
66,IOTA,891357812.5368961,109331160.77846178,2023-12-06 21:01:00
67,Tezos,852346877.7676041,32426686.72061032,2023-12-06 21:01:00
68,Neo,839142489.0322971,100579524.14486113,2023-12-06 21:02:00
69,Kava,828038938.5843265,31030360.75210725,2023-12-06 21:01:00
70,EOS,824106359.675016,129776709.1326129,2023-12-06 21:01:00
71,Gala,777154124.8932341,167307926.7073928,2023-12-06 21:01:00
