id,name,market_cap
0,Bitcoin,856896047344.4724
1,Ethereum,271333302614.579
2,Tether USDt,89942631062.51157
3,BNB,34928372915.25611
4,XRP,34181478131.814693
5,Solana,27121189166.324535
6,USDC,24250649424.87404
7,Cardano,15825670991.721563
8,Dogecoin,13855172183.954916
9,Avalanche,9800801397.45158
10,TRON,9311242771.146135
11,Chainlink,8676164534.57458
12,Toncoin,7982868925.874661
13,Polygon,7706022687.289146
14,Polkadot,7587690429.648278
15,Shiba Inu,5831450367.549161
16,Litecoin,5421662973.04314
17,Dai,5342898314.88929
18,Bitcoin Cash,4848885588.374548
19,Cosmos,3788850713.3493586
20,Uniswap,3562567638.402517
21,Stellar,3495235275.1753054
22,UNUS SED LEO,3487359170.7788715
23,OKB,3444144267.0214534
24,Monero,3146832710.9404235
25,Kaspa,3043422230.181661
26,Ethereum Classic,2952301817.948806
27,TrueUSD,2839677541.8256865
28,Cronos,2430574309.3996587
29,NEAR Protocol,2360828687.6652346
30,Hedera,2320548686.7157755
31,Filecoin,2268606438.0434217
32,Internet Computer,2204331203.6560297
33,THORChain,2178424095.906832
34,Aptos,2084836728.5573967
35,Lido DAO,2042657726.2986062
36,Mantle,1990795119.2019725
37,VeChain,1854152081.0870695
38,Immutable,1754815587.406576
39,BUSD,1592627406.8919482
40,Optimism,1585321946.123383
41,The Graph,1548610914.6971705
42,Stacks,1500403417.4429514
43,Celestia,1499330788.8761315
44,Injective,1447726022.6603734
45,FTX Token,1441821487.774502
46,Aave,1428685236.7031894
47,Render,1396752077.2748902
48,Arbitrum,1366263711.6187274
49,Quant,1334917679.5737367
50,ORDI,1321617218.9555924
51,Maker,1321422761.6096027
52,Terra Classic,1295926991.084852
53,MultiversX,1286751162.0395093
54,Algorand,1238781180.9558864
55,Flow,1131086116.4943047
56,Synthetix,1114364726.8523145
57,First Digital USD,1068143271.1157913
58,Theta Network,1066774088.5931433
59,Bitcoin SV,1012358004.2548567
60,The Sandbox,948677588.9075375
61,Fantom,941938059.2963314
62,Axie Infinity,927414862.376683
63,BitTorrent (New),904785664.9456557
64,Decentraland,902792232.6412033
65,KuCoin Token,900390282.756222
66,IOTA,891357812.5368961
67,Tezos,852346877.7676041
68,Neo,839142489.0322971
69,Kava,828038938.5843265
70,EOS,824106359.675016
71,Gala,777154124.8932341
72,Mina,748564803.7940224
73,Bitget Token,728668062.2337419
74,USDD,723509718.9346578
75,Beam,722520485.7433852
76,XDC Network,718445096.2588495
77,Klaytn,706882371.8080548
78,Conflux,691948485.4162737
79,eCash,679115483.8474404
80,Sui,647319013.6764537
81,Pepe,641715124.4106377
82,Terra,632493859.7250638
83,Chiliz,631376789.7352921
84,PancakeSwap,629125203.120381
85,Frax Share,616592155.7563114
86,Sei,611078073.5807114
87,Helium,608207524.8657237
88,ApeCoin,606276352.4000636
89,Rocket Pool,599178631.2215251
90,Curve DAO Token,571708300.4576842
91,Blur,569416304.1744921
92,Oasis Network,542467567.1526805
93,dYdX (ethDYDX),541503803.7450907
94,Arweave,523295688.12408584
95,Zcash,513284469.77813023
96,Gas,501921214.2480171
97,Casper,501509261.7226576
98,Tether Gold,500490684.9062806
99,Gnosis,499564402.02717423
